,ID,Language,Meaning,Word
0,1,French,hand,main
1,2,French,leg,jambe
2,3,French,eye,œil
3,4,French,nose,nez
4,5,French,ear,oreille
5,6,French,tooth,dent
6,7,French,come,venir
7,8,French,run,courir
8,9,French,go,aller
9,10,French,sit,asseoir
10,11,French,stand,se lever
11,12,French,walk,marcher
12,13,French,jump,sauter
13,14,French,write,écrire
14,15,French,read,lire
15,16,French,speak,parler
16,17,French,listen,écouter
17,18,French,eat,manger
18,19,French,drink,boire
19,20,French,sleep,dormir
20,21,French,morning,matin
21,22,French,night,nuit
22,23,French,day,jour
23,24,French,week,semaine
24,25,French,month,mois
25,26,French,year,an
26,27,French,sun,soleil
27,28,French,moon,lune
28,29,French,star,étoile
29,30,French,sky,ciel
30,31,French,house,maison
31,32,French,door,porte
32,33,French,window,fenêtre
33,34,French,chair,chaise
34,35,French,table,table
35,36,French,book,livre
36,37,French,pen,stylo
37,38,French,paper,papier
38,39,French,phone,téléphone
39,40,French,computer,ordinateur
40,41,French,cat,chat
41,42,French,dog,chien
42,43,French,bird,oiseau
43,44,French,fish,poisson
44,45,French,tree,arbre
45,46,French,flower,fleur
46,47,French,water,eau
47,48,French,fire,feu
48,49,French,earth,terre
49,50,French,air,air
50,1,Italian,hand,mano
51,2,Italian,leg,gamba
52,3,Italian,eye,occhio
53,4,Italian,nose,naso
54,5,Italian,ear,orecchio
55,6,Italian,tooth,dente
56,7,Italian,come,venire
57,8,Italian,run,correre
58,9,Italian,go,andare
59,10,Italian,sit,sedere
60,11,Italian,stand,alzarsi
61,12,Italian,walk,camminare
62,13,Italian,jump,saltare
63,14,Italian,write,scrivere
64,15,Italian,read,leggere
65,16,Italian,speak,parlare
66,17,Italian,listen,ascoltare
67,18,Italian,eat,mangiare
68,19,Italian,drink,bere
69,20,Italian,sleep,dormire
70,21,Italian,morning,mattina
71,22,Italian,night,notte
72,23,Italian,day,giorno
73,24,Italian,week,settimana
74,25,Italian,month,mese
75,26,Italian,year,anno
76,27,Italian,sun,sole
77,28,Italian,moon,luna
78,29,Italian,star,stella
79,30,Italian,sky,cielo
80,31,Italian,house,casa
81,32,Italian,door,porta
82,33,Italian,window,finestra
83,34,Italian,chair,sedia
84,35,Italian,table,tavolo
85,36,Italian,book,libro
86,37,Italian,pen,penna
87,38,Italian,paper,carta
88,39,Italian,phone,telefono
89,40,Italian,computer,computer
90,41,Italian,cat,gatto
91,42,Italian,dog,cane
92,43,Italian,bird,uccello
93,44,Italian,fish,pesce
94,45,Italian,tree,albero
95,46,Italian,flower,fiore
96,47,Italian,water,acqua
97,48,Italian,fire,fuoco
98,49,Italian,earth,terra
99,50,Italian,air,aria
100,1,English,hand,hand
101,2,English,leg,leg
102,3,English,eye,eye
103,4,English,nose,nose
104,5,English,ear,ear
105,6,English,tooth,tooth
106,7,English,come,come
107,8,English,run,run
108,9,English,go,go
109,10,English,sit,sit
110,11,English,stand,stand
111,12,English,walk,walk
112,13,English,jump,jump
113,14,English,write,write
114,15,English,read,read
115,16,English,speak,speak
116,17,English,listen,listen
117,18,English,eat,eat
118,19,English,drink,drink
119,20,English,sleep,sleep
120,21,English,morning,morning
121,22,English,night,night
122,23,English,day,day
123,24,English,week,week
124,25,English,month,month
125,26,English,year,year
126,27,English,sun,sun
127,28,English,moon,moon
128,29,English,star,star
129,30,English,sky,sky
130,31,English,house,house
131,32,English,door,door
132,33,English,window,window
133,34,English,chair,chair
134,35,English,table,table
135,36,English,book,book
136,37,English,pen,pen
137,38,English,paper,paper
138,39,English,phone,phone
139,40,English,computer,computer
140,41,English,cat,cat
141,42,English,dog,dog
142,43,English,bird,bird
143,44,English,fish,fish
144,45,English,tree,tree
145,46,English,flower,flower
146,47,English,water,water
147,48,English,fire,fire
148,49,English,earth,earth
149,50,English,air,air
150,1,German,hand,hand
151,2,German,leg,bein
152,3,German,eye,auge
153,4,German,nose,nase
154,5,German,ear,ohr
155,6,German,tooth,zahn
156,7,German,come,kommen
157,8,German,run,rennen
158,9,German,go,gehen
159,10,German,sit,sitzen
160,11,German,stand,stehen
161,12,German,walk,laufen
162,13,German,jump,springen
163,14,German,write,schreiben
164,15,German,read,lesen
165,16,German,speak,sprechen
166,17,German,listen,hören
167,18,German,eat,essen
168,19,German,drink,trinken
169,20,German,sleep,schlafen
170,21,German,morning,morgen
171,22,German,night,nacht
172,23,German,day,tag
173,24,German,week,woche
174,25,German,month,monat
175,26,German,year,jahr
176,27,German,sun,sonne
177,28,German,moon,mond
178,29,German,star,stern
179,30,German,sky,himmel
180,31,German,house,haus
181,32,German,door,tür
182,33,German,window,fenster
183,34,German,chair,stuhl
184,35,German,table,tisch
185,36,German,book,buch
186,37,German,pen,stift
187,38,German,paper,papier
188,39,German,phone,telefon
189,40,German,computer,computer
190,41,German,cat,katze
191,42,German,dog,hund
192,43,German,bird,vogel
193,44,German,fish,fisch
194,45,German,tree,baum
195,46,German,flower,blume
196,47,German,water,wasser
197,48,German,fire,feuer
198,49,German,earth,erde
199,50,German,air,luft
200,1,Dutch,hand,hand
201,2,Dutch,leg,been
202,3,Dutch,eye,oog
203,4,Dutch,nose,neus
204,5,Dutch,ear,oor
205,6,Dutch,tooth,tand
206,7,Dutch,come,komen
207,8,Dutch,run,rennen
208,9,Dutch,go,gaan
209,10,Dutch,sit,zitten
210,11,Dutch,stand,staan
211,12,Dutch,walk,lopen
212,13,Dutch,jump,springen
213,14,Dutch,write,schrijven
214,15,Dutch,read,lezen
215,16,Dutch,speak,spreken
216,17,Dutch,listen,luisteren
217,18,Dutch,eat,eten
218,19,Dutch,drink,drinken
219,20,Dutch,sleep,slapen
220,21,Dutch,morning,ochtend
221,22,Dutch,night,nacht
222,23,Dutch,day,dag
223,24,Dutch,week,week
224,25,Dutch,month,maand
225,26,Dutch,year,jaar
226,27,Dutch,sun,zon
227,28,Dutch,moon,maan
228,29,Dutch,star,ster
229,30,Dutch,sky,lucht
230,31,Dutch,house,huis
231,32,Dutch,door,deur
232,33,Dutch,window,raam
233,34,Dutch,chair,stoel
234,35,Dutch,table,tafel
235,36,Dutch,book,boek
236,37,Dutch,pen,pen
237,38,Dutch,paper,papier
238,39,Dutch,phone,telefoon
239,40,Dutch,computer,computer
240,41,Dutch,cat,kat
241,42,Dutch,dog,hond
242,43,Dutch,bird,vogel
243,44,Dutch,fish,vis
244,45,Dutch,tree,boom
245,46,Dutch,flower,bloem
246,47,Dutch,water,water
247,48,Dutch,fire,vuur
248,49,Dutch,earth,aarde
249,50,Dutch,air,lucht
250,1,Spanish,hand,mano
251,2,Spanish,leg,pierna
252,3,Spanish,eye,ojo
253,4,Spanish,nose,nariz
254,5,Spanish,ear,oreja
255,6,Spanish,tooth,diente
256,7,Spanish,come,venir
257,8,Spanish,run,correr
258,9,Spanish,go,ir
259,10,Spanish,sit,sentar
260,11,Spanish,stand,estar de pie
261,12,Spanish,walk,caminar
262,13,Spanish,jump,saltar
263,14,Spanish,write,escribir
264,15,Spanish,read,leer
265,16,Spanish,speak,hablar
266,17,Spanish,listen,escuchar
267,18,Spanish,eat,comer
268,19,Spanish,drink,beber
269,20,Spanish,sleep,dormir
270,21,Spanish,morning,mañana
271,22,Spanish,night,noche
272,23,Spanish,day,día
273,24,Spanish,week,semana
274,25,Spanish,month,mes
275,26,Spanish,year,año
276,27,Spanish,sun,sol
277,28,Spanish,moon,luna
278,29,Spanish,star,estrella
279,30,Spanish,sky,cielo
280,31,Spanish,house,casa
281,32,Spanish,door,puerta
282,33,Spanish,window,ventana
283,34,Spanish,chair,silla
284,35,Spanish,table,mesa
285,36,Spanish,book,libro
286,37,Spanish,pen,bolígrafo
287,38,Spanish,paper,papel
288,39,Spanish,phone,teléfono
289,40,Spanish,computer,computadora
290,41,Spanish,cat,gato
291,42,Spanish,dog,perro
292,43,Spanish,bird,pájaro
293,44,Spanish,fish,pez
294,45,Spanish,tree,árbol
295,46,Spanish,flower,flor
296,47,Spanish,water,agua
297,48,Spanish,fire,fuego
298,49,Spanish,earth,tierra
299,50,Spanish,air,aire
300,1,Portuguese,hand,mão
301,2,Portuguese,leg,perna
302,3,Portuguese,eye,olho
303,4,Portuguese,nose,nariz
304,5,Portuguese,ear,orelha
305,6,Portuguese,tooth,dente
306,7,Portuguese,come,vir
307,8,Portuguese,run,correr
308,9,Portuguese,go,ir
309,10,Portuguese,sit,sentar
310,11,Portuguese,stand,ficar de pé
311,12,Portuguese,walk,andar
312,13,Portuguese,jump,pular
313,14,Portuguese,write,escrever
314,15,Portuguese,read,ler
315,16,Portuguese,speak,falar
316,17,Portuguese,listen,ouvir
317,18,Portuguese,eat,comer
318,19,Portuguese,drink,beber
319,20,Portuguese,sleep,dormir
320,21,Portuguese,morning,manhã
321,22,Portuguese,night,noite
322,23,Portuguese,day,dia
323,24,Portuguese,week,semana
324,25,Portuguese,month,mês
325,26,Portuguese,year,ano
326,27,Portuguese,sun,sol
327,28,Portuguese,moon,lua
328,29,Portuguese,star,estrela
329,30,Portuguese,sky,céu
330,31,Portuguese,house,casa
331,32,Portuguese,door,porta
332,33,Portuguese,window,janela
333,34,Portuguese,chair,cadeira
334,35,Portuguese,table,mesa
335,36,Portuguese,book,livro
336,37,Portuguese,pen,caneta
337,38,Portuguese,paper,papel
338,39,Portuguese,phone,telefone
339,40,Portuguese,computer,computador
340,41,Portuguese,cat,gato
341,42,Portuguese,dog,cachorro
342,43,Portuguese,bird,pássaro
343,44,Portuguese,fish,peixe
344,45,Portuguese,tree,árvore
345,46,Portuguese,flower,flor
346,47,Portuguese,water,água
347,48,Portuguese,fire,fogo
348,49,Portuguese,earth,terra
349,50,Portuguese,air,ar
